
--- Episode Details ---
Episode 66: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.00
Episode 67: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.10
Episode 68: Steps = 255, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -5.40
Episode 69: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.50
Episode 70: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.90
Episode 71: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.80
Episode 72: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.40
Episode 73: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.80
Episode 74: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.20
Episode 75: Steps = 226, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -26.82
Episode 76: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.80
Episode 77: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.30
Episode 78: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.60
Episode 79: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.40
Episode 80: Steps = 239, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -5.08
Episode 81: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.30
Episode 82: Steps = 287, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -33.74
Episode 83: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.40
Episode 84: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.00
Episode 85: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.40
Episode 86: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.90
Episode 87: Steps = 517, Ore1 = 0.49, Ore2 = 0.54, Fuel Cost = -12.64
Episode 88: Steps = 508, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -11.66
Episode 89: Steps = 80, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -4.50
Episode 90: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.70
Episode 91: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.60
Episode 92: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.90
Episode 93: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.80
Episode 94: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -20.90
Episode 95: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.20
Episode 96: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.40
Episode 97: Steps = 225, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -26.60
Episode 98: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.30
Episode 99: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.10
Episode 100: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
