
--- Episode Details ---
Episode 67: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 68: Steps = 20, Ore1 = 0.19, Ore2 = 1.24, Fuel Cost = -1.00
Episode 69: Steps = 16, Ore1 = 1.33, Ore2 = 0.17, Fuel Cost = -1.12
Episode 70: Steps = 23, Ore1 = 0.13, Ore2 = 1.37, Fuel Cost = -1.16
Episode 71: Steps = 46, Ore1 = 1.32, Ore2 = 0.18, Fuel Cost = -1.72
Episode 72: Steps = 21, Ore1 = 0.17, Ore2 = 1.33, Fuel Cost = -1.02
Episode 73: Steps = 19, Ore1 = 1.45, Ore2 = 0.05, Fuel Cost = -1.08
Episode 74: Steps = 20, Ore1 = 1.22, Ore2 = 0.28, Fuel Cost = -1.00
Episode 75: Steps = 19, Ore1 = 1.32, Ore2 = 0.18, Fuel Cost = -1.18
Episode 76: Steps = 22, Ore1 = 1.42, Ore2 = 0.08, Fuel Cost = -1.04
Episode 77: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.34
Episode 78: Steps = 21, Ore1 = 1.28, Ore2 = 0.22, Fuel Cost = -1.02
Episode 79: Steps = 23, Ore1 = 1.36, Ore2 = 0.14, Fuel Cost = -1.06
Episode 80: Steps = 20, Ore1 = 1.32, Ore2 = 0.18, Fuel Cost = -1.00
Episode 81: Steps = 19, Ore1 = 0.05, Ore2 = 1.45, Fuel Cost = -1.08
Episode 82: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.34
Episode 83: Steps = 24, Ore1 = 1.28, Ore2 = 0.22, Fuel Cost = -1.08
Episode 84: Steps = 19, Ore1 = 0.15, Ore2 = 1.35, Fuel Cost = -1.08
Episode 85: Steps = 19, Ore1 = 0.15, Ore2 = 1.35, Fuel Cost = -1.28
Episode 86: Steps = 19, Ore1 = 0.11, Ore2 = 1.39, Fuel Cost = -1.08
Episode 87: Steps = 21, Ore1 = 1.32, Ore2 = 0.18, Fuel Cost = -1.02
Episode 88: Steps = 20, Ore1 = 0.09, Ore2 = 1.41, Fuel Cost = -1.10
Episode 89: Steps = 21, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.62
Episode 90: Steps = 21, Ore1 = 0.26, Ore2 = 1.24, Fuel Cost = -1.02
Episode 91: Steps = 18, Ore1 = 0.07, Ore2 = 1.43, Fuel Cost = -1.26
Episode 92: Steps = 14, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.38
Episode 93: Steps = 23, Ore1 = 1.44, Ore2 = 0.06, Fuel Cost = -1.16
Episode 94: Steps = 16, Ore1 = 0.05, Ore2 = 1.45, Fuel Cost = -1.42
Episode 95: Steps = 38, Ore1 = 0.18, Ore2 = 1.32, Fuel Cost = -1.36
Episode 96: Steps = 19, Ore1 = 1.37, Ore2 = 0.13, Fuel Cost = -1.18
Episode 97: Steps = 28, Ore1 = 0.14, Ore2 = 1.36, Fuel Cost = -1.16
Episode 98: Steps = 18, Ore1 = 0.02, Ore2 = 1.48, Fuel Cost = -0.96
Episode 99: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 100: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
